album_name,track_title,track_n,lyric_sentimiento
Taylor Swift,Picture To Burn,2,-0.998
Taylor Swift,The Outside,6,-0.8946
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,-0.98
Fearless (Taylor’s Version),Tell Me Why (Taylor’s Version),8,-0.8466
Fearless (Taylor’s Version),You’re Not Sorry (Taylor’s Version),9,-0.9895
Fearless (Taylor’s Version),Forever & Always (Taylor’s Version),11,-0.7229
Fearless (Taylor’s Version),Forever & Always (Piano Version) [Taylor’s Version],16,-0.5792
Fearless (Taylor’s Version),Bye Bye Baby (Taylor’s Version) [From the Vault],26,-0.9047
Speak Now (Deluxe),Dear John,5,-0.9384
Speak Now (Deluxe),Mean,6,-0.9616
Speak Now (Deluxe),The Story of Us,7,-0.9761
Speak Now (Deluxe),Haunted,12,-0.9713
Speak Now (Deluxe),Long Live,14,-0.8176
Red (Deluxe Edition),I Knew You Were Trouble,4,-0.9983
1989 (Deluxe),Blank Space,2,-0.5535
1989 (Deluxe),Shake It Off,6,-0.9995
1989 (Deluxe),I Wish You Would,7,-0.9897
1989 (Deluxe),Bad Blood,8,-0.9945
1989 (Deluxe),This Love,11,-0.9994
1989 (Deluxe),I Know Places,12,-0.6808
reputation,So It Goes...,7,-0.8731
reputation,Getaway Car,9,-0.9762
Lover,Cruel Summer,2,-0.9715
Lover,The Man,4,-0.9785
Lover,Miss Americana & The Heartbreak Prince,7,-0.996
Lover,Death by a Thousand Cuts,10,-0.7288
Lover,Afterglow,15,-0.9765
folklore (deluxe version),my tears ricochet,5,-0.9765
folklore (deluxe version),this is me trying,9,-0.9062
folklore (deluxe version),​illicit affairs,10,-0.8204
folklore (deluxe version),​mad woman,12,-0.9824
folklore (deluxe version),​peace,15,-0.9384
folklore (deluxe version),hoax,16,-0.9806
evermore (deluxe version),"​no body, no crime",6,-0.9627
evermore (deluxe version),​dorothea,8,-0.6121
evermore (deluxe version),​ivy,10,-0.8119
evermore (deluxe version),cowboy like me,11,-0.8132
evermore (deluxe version),​l​ong story short,12,-0.7269
evermore (deluxe version),​marjorie,13,-0.9947
evermore (deluxe version),​evermore,15,-0.9875
evermore (deluxe version),​r​ight where you left me,16,-0.9743
